time,heating_kw,ecs_kw,total_kw
2023-01-01 00:00:00,4734.46272357112,0.0,4734.46272357112
2023-01-01 01:00:00,4705.322788176207,0.0,4705.322788176207
2023-01-01 02:00:00,4659.578945365758,0.0,4659.578945365758
2023-01-01 03:00:00,4577.597118077399,0.0,4577.597118077399
2023-01-01 04:00:00,4490.850426208826,0.0,4490.850426208826
2023-01-01 05:00:00,4336.023871381048,0.0,4336.023871381048
2023-01-01 06:00:00,4233.460058963151,0.0,4233.460058963151
2023-01-01 07:00:00,4240.563761125442,0.0,4240.563761125442
2023-01-01 08:00:00,4273.722556743278,1881.85502283105,6155.577579574328
2023-01-01 09:00:00,4292.447774860573,1881.85502283105,6174.302797691624
2023-01-01 10:00:00,4306.33919282305,1881.85502283105,6188.194215654101
2023-01-01 11:00:00,4217.667828050824,1881.85502283105,6099.522850881875
2023-01-01 12:00:00,4044.3537701371115,1881.85502283105,5926.208792968162
2023-01-01 13:00:00,3916.202964726173,1881.85502283105,5798.057987557223
2023-01-01 14:00:00,3845.434365933607,1881.85502283105,5727.289388764657
2023-01-01 15:00:00,3801.102553848192,1881.85502283105,5682.957576679242
2023-01-01 16:00:00,3812.1969469077067,1881.85502283105,5694.051969738757
2023-01-01 17:00:00,3825.361226635011,1881.85502283105,5707.216249466061
2023-01-01 18:00:00,3875.493685923938,1881.85502283105,5757.3487087549875
2023-01-01 19:00:00,3942.7150377205967,1881.85502283105,5824.570060551647
2023-01-01 20:00:00,4035.128141558161,0.0,4035.128141558161
2023-01-01 21:00:00,4153.109803118117,0.0,4153.109803118117
2023-01-01 22:00:00,4256.1737540045615,0.0,4256.1737540045615
2023-01-01 23:00:00,4324.826089760323,0.0,4324.826089760323
2023-01-02 00:00:00,4373.012030521239,0.0,4373.012030521239
2023-01-02 01:00:00,4399.586348441898,0.0,4399.586348441898
2023-01-02 02:00:00,4391.926826214778,0.0,4391.926826214778
2023-01-02 03:00:00,4316.939498222394,0.0,4316.939498222394
2023-01-02 04:00:00,4277.255071032482,0.0,4277.255071032482
2023-01-02 05:00:00,4264.218120159718,0.0,4264.218120159718
2023-01-02 06:00:00,4259.851537966408,0.0,4259.851537966408
2023-01-02 07:00:00,4262.159666155254,0.0,4262.159666155254
2023-01-02 08:00:00,4252.160727944996,1881.85502283105,6134.015750776047
2023-01-02 09:00:00,4197.7760172018125,1881.85502283105,6079.631040032862
2023-01-02 10:00:00,4109.198203194059,1881.85502283105,5991.053226025109
2023-01-02 11:00:00,3988.232223282821,1881.85502283105,5870.0872461138715
2023-01-02 12:00:00,3888.624325637314,1881.85502283105,5770.479348468364
2023-01-02 13:00:00,3787.583137877403,1881.85502283105,5669.438160708452
2023-01-02 14:00:00,3696.9292645841897,1881.85502283105,5578.784287415239
2023-01-02 15:00:00,3666.597479520264,1881.85502283105,5548.452502351314
2023-01-02 16:00:00,3682.6613427361153,1881.85502283105,5564.516365567166
2023-01-02 17:00:00,3740.5346506374744,1881.85502283105,5622.389673468524
2023-01-02 18:00:00,3813.516161634785,1881.85502283105,5695.3711844658355
2023-01-02 19:00:00,3892.783741514929,1881.85502283105,5774.638764345978
2023-01-02 20:00:00,3965.6411890096433,0.0,3965.6411890096433
2023-01-02 21:00:00,4039.7055949735454,0.0,4039.7055949735454
2023-01-02 22:00:00,4184.823506911387,0.0,4184.823506911387
2023-01-02 23:00:00,4297.360172463445,0.0,4297.360172463445
2023-01-03 00:00:00,4373.615165511661,0.0,4373.615165511661
2023-01-03 01:00:00,4439.580067811679,0.0,4439.580067811679
2023-01-03 02:00:00,4480.073918397689,0.0,4480.073918397689
2023-01-03 03:00:00,4506.699263421057,0.0,4506.699263421057
2023-01-03 04:00:00,4534.122663530407,0.0,4534.122663530407
2023-01-03 05:00:00,4550.3146721097455,0.0,4550.3146721097455
2023-01-03 06:00:00,4557.736374482538,0.0,4557.736374482538
2023-01-03 07:00:00,4552.437808782256,0.0,4552.437808782256
2023-01-03 08:00:00,4554.690405714285,1881.85502283105,6436.545428545334
2023-01-03 09:00:00,4545.111014669252,1881.85502283105,6426.966037500302
2023-01-03 10:00:00,4526.34859173863,1881.85502283105,6408.20361456968
2023-01-03 11:00:00,4500.404536284747,1881.85502283105,6382.259559115797
2023-01-03 12:00:00,4428.011106567907,1881.85502283105,6309.866129398957
2023-01-03 13:00:00,3958.40197716411,1881.85502283105,5840.25699999516
2023-01-03 14:00:00,3718.8736843034353,1881.85502283105,5600.728707134485
2023-01-03 15:00:00,3654.2733840546853,1881.85502283105,5536.128406885735
2023-01-03 16:00:00,3584.1018139766607,1881.85502283105,5465.956836807711
2023-01-03 17:00:00,3393.684745684892,1881.85502283105,5275.539768515942
2023-01-03 18:00:00,3297.565987159461,1881.85502283105,5179.421009990511
2023-01-03 19:00:00,3197.92082504388,1881.85502283105,5079.77584787493
2023-01-03 20:00:00,3124.9226992139834,0.0,3124.9226992139834
2023-01-03 21:00:00,3095.877690427895,0.0,3095.877690427895
2023-01-03 22:00:00,3124.1964842357484,0.0,3124.1964842357484
2023-01-03 23:00:00,3197.0383325817834,0.0,3197.0383325817834
2023-01-04 00:00:00,3281.3755368375337,0.0,3281.3755368375337
2023-01-04 01:00:00,3392.633507427601,0.0,3392.633507427601
2023-01-04 02:00:00,3484.28319360247,0.0,3484.28319360247
2023-01-04 03:00:00,3607.921015328672,0.0,3607.921015328672
2023-01-04 04:00:00,3709.7850745223122,0.0,3709.7850745223122
2023-01-04 05:00:00,3783.5548396157174,0.0,3783.5548396157174
2023-01-04 06:00:00,3853.303984038436,0.0,3853.303984038436
2023-01-04 07:00:00,3902.428072987287,0.0,3902.428072987287
